amount,device_id,location,is_fraud
1950.37,650cb189-3822-44ea-9f09-ef3955436c3b,New Angelahaven,1
868.62,afa0ac89-e143-48b7-8f73-cdeede1c021b,Davidtown,0
1239.01,939af558-0e23-4000-9b60-dc96416312b7,New Josephburgh,0
3181.33,a692f724-f7f2-4200-8784-94857e2d5c41,Wilsonland,0
1629.55,92f56c40-5f97-436d-948e-f938e4cbd261,Port Christopher,0
2642.83,3e8a8779-8561-4c19-84dd-5607c5e39e18,Melindaburgh,0
4480.97,bd3497a9-9fe3-4231-8533-ec7ab2f99236,Bellland,0
4298.56,ad9ed71d-ec4c-4dc1-afcd-6c95dbbd59b3,Marieton,0
4878.17,6b25701c-f355-4f3b-a841-ff631df1a802,Horneside,0
1028.52,d27aa745-f4b3-4da6-96e5-8f991e6c5001,West Charleschester,0
3835.73,72caf20d-c350-46ee-a979-411f7079c7e6,North Kevin,0
1077.65,b3afe872-c665-4bf9-913e-d700b4b438d6,Brownmouth,0
4036.88,d50f3ef4-ddb0-4491-bd3a-23dd12c5b9d7,West Jameshaven,0
3346.64,18d08ccb-3df7-4d12-a4ef-fc7764e7c291,Lake Laurenside,0
2447.57,78cc89e4-6ef1-471f-be38-f375d0fae8b3,Lake Natalie,0
21.43,ed1cbf21-28fc-4496-bcda-f9a0fa1937ba,North Jennifer,0
3153.47,bfe8e475-0564-45aa-ab28-c9816a4ac89b,New Angela,0
3477.78,59afca96-e319-4e04-a7e5-1568612242fd,Foxville,0
4442.66,b2ba4343-586e-45bb-9516-aa16cefc7b1a,East Cherylhaven,0
3642.88,2bd9ced5-1c70-438e-b880-164cb1d24260,North Jessicamouth,0
1966.67,e09ecc14-026c-4224-82b3-4c2028e71980,West Patricia,0
2526.19,89a621cb-387b-4acd-9d97-aa7527e2e345,New Maryberg,0
2714.41,f9612f0c-9da2-48b3-8d83-ebf93d9f1e32,Donaldville,0
2361.5,eca69330-9b7a-4811-9431-dfbf7badb647,West Jennifer,0
2480.23,76882476-5dd3-4ac0-a149-deeb380fe9cf,Robinsonview,0
190.72,c32a3441-1a8c-4598-9bac-91b8e102d604,Port Tammyshire,0
802.78,663dea8d-360e-4f58-9bbe-95bc95301071,Claytonberg,1
2450.67,45ab9194-4a8a-4968-bb26-68093bfa9643,Marshallborough,0
897.93,576aefe1-b23b-4609-b3aa-d99757ae59fa,Johnton,0
2596.49,1d781829-9a29-44a3-989e-759b83040d9e,East Robertfurt,0
1556.61,9d4063fd-4607-420d-b3aa-0c885ac5a050,West Jimberg,0
1044.08,75b3c556-e192-433d-a884-063ed0608a24,East Mitchell,0
3801.31,2e3403dd-f3db-44fe-ac32-cbb6706de703,Annmouth,0
2824.01,f3273baf-1d88-4067-b7f4-7d8a9d2a3332,East Lindachester,0
2683.18,76f30d78-2629-49ad-9b49-7009a76d28dd,South Mistytown,0
2795.9,f2fe81c8-ddb1-4e85-a256-1dfab4705dff,Jacksonville,0
2690.96,205b6ed4-3db9-4e69-9be5-312f41b7530b,Lake Ericafort,0
1357.82,c7b4d171-4a78-430c-8e87-aeff7ef7f496,Devintown,0
1514.12,71cf1628-0940-4510-ac9c-419782aaf590,New Monicaburgh,0
961.41,5b7586a8-76e0-4229-8055-b8b4896dda81,New Vanessa,1
51.78,09a42767-f365-48ca-8b86-38e3ded8f114,New Ashley,0
901.67,516d9483-daef-4667-bdbc-99de1cf53204,West Aprilland,0
4885.31,58d143f6-6317-46ed-a84b-287b0ff8686f,Murrayview,0
315.08,daf14feb-e4d6-49df-91b8-a5d2ba7720b3,West Cassidyberg,1
4120.49,babfd68d-212f-4380-8b07-c9c6be4f1375,South David,0
3388.41,73b9da43-5935-46c7-bda0-dfb6fc47431b,West Amandaland,0
2792.53,4b64108b-c0dc-4549-8516-19197665f209,North Linda,0
4200.21,bd76e60b-473b-44c5-8947-2af09a18ca05,Lake Christina,0
1947.99,9b2a02d1-ea3c-49c7-abfe-3721dabfe901,Madisonside,0
4592.92,02fdb48b-1854-4d87-93a2-de31a4741776,North Jillmouth,0
1358.6,3a0ae373-8c0f-4751-9fc4-ed311973b113,Joshuaside,0
4583.7,8f071957-9ad1-45a3-a200-8407fd89a9bb,South Saratown,0
160.17,04501818-4512-494b-81d2-c1064b75def2,South Jamesmouth,0
3264.02,e7afa805-4ca8-44ee-8119-80e45df244f4,Kaitlynborough,0
3250.69,1b12763f-4864-455d-a6f7-89e1a2e94e0f,Omarbury,0
3859.79,a4eeba68-50b9-4067-bf5a-5c6163e40d1e,Stewartview,0
1793.46,1148ab46-44ba-41e1-8432-1435a0ccb804,New Jasonstad,0
4134.65,8d1003c4-82e0-4499-bb3f-e2afe2457257,Listad,0
2387.28,e4d93954-a475-4b47-8460-1f74235aca23,Shaunfort,0
2251.69,056faf10-5dcf-4084-9be3-632f28d1c4ef,North Wesleyshire,0
3173.6,61a74997-2a4a-4b32-8e52-39839c6c7475,Lake Dawnfurt,0
4103.22,acb9b711-fe0f-4327-b075-b08eafcd3a37,Theresaview,0
2595.64,bcaed3d0-ff95-4d8a-bc46-86a48cf1f787,Gonzalezhaven,0
2305.06,e0b734ed-5ec1-4e10-ab2b-4c6d92eb6d0e,North Kristen,0
4777.94,84ee98a4-46a8-4071-a419-66bb8f63d1be,West Brandonton,0
1280.41,f91867e0-b3e5-418e-8594-61630b41cb0f,Susanfort,0
4144.19,30022462-b4e2-4cee-af1c-8891486129ed,New Patrickstad,0
3959.56,d7bcf017-ff7e-40ec-9bbe-3cb74b0fc89a,Kimside,0
3772.8,d4d97101-3d6b-471e-b36a-f4ea89c9535f,North Jefferyton,0
2367.86,8b598e1f-9822-40d5-a81e-e1ca82b5fc68,New Richard,0
324.6,9649b27f-d1b7-40a5-9177-fe7adc7ad417,Lake Rachelhaven,0
4177.67,ad0ca807-4944-4212-a937-f7cb3262c2d9,Dennistown,0
2905.09,248c8e23-35bd-42c6-b0f4-6f148a75042a,Webbmouth,0
4940.17,b70cbb5e-f781-41d9-9f7e-9c540b3ea579,West Taylorburgh,0
4822.55,bc347e7a-05f5-48b0-8b5f-660f6a299fd3,Millerbury,0
3629.39,d404c5e6-b7ec-4928-8ca7-a9d1327babd1,Stephensmouth,0
2847.01,4f4cc1c0-bb4b-48ce-9536-3b5fe6e72c23,West Susanchester,0
2367.08,28428eae-cab4-489e-925f-6d174f6e61e5,Salinasville,0
34.13,c9bd4e86-aeb1-40f2-b678-1ae9ad206928,South Ashley,0
1911.01,bbdddcb5-4465-4eb5-914d-cf2a30baf8ef,Lanefort,0
2831.98,1909d93b-9815-4175-b8e8-956e0a6f82f3,Juliachester,0
4885.05,9e3279d4-973b-400d-afaf-728c21694790,Lake Toddstad,0
3702.17,e7f628bb-78d0-4025-bf59-48a9b1e4c95b,New Nicholastown,0
1594.79,523e357b-7e9b-41f6-aa65-43885d06a9e7,New Jessicaview,0
1780.64,904545d7-dec7-4a8b-abe6-237bdb833610,West Reginaside,0
1858.85,58a4e9c3-4adb-4a87-99d8-4758bc4cff20,Taylormouth,0
1053.12,00a91885-f934-4517-8f06-223f4392671e,Trevinotown,0
808.39,ff6e3fe7-257a-4309-81aa-6632cc97b785,Port Christinefurt,0
1479.19,715c43de-7320-456e-9f9d-1e6fb788d46a,Juliaport,0
2368.64,0cf5b42c-3038-4efe-8d85-277e02c08d02,Ronaldfort,0
2753.69,e64d4fb3-b852-48f8-b193-787899bfc303,Timothyhaven,0
3134.78,aa659b8e-0711-4ed9-8ff6-a3697daccd9d,Williamfurt,0
493.7,a1b3b6df-38a3-4f79-879e-d9892d17285d,Lauraborough,0
1024.93,aaf70318-2528-45a2-90ba-8f7e833bf49b,Joneschester,0
4690.66,a5e91ccc-e3dd-44c6-a1db-03c41d4dccaa,North Jeffreymouth,0
746.69,214075dd-b785-4a8e-b090-0914e292f551,Zimmermanview,0
4185.96,d08fef1d-d846-4ecb-bc83-01aca8e6b6d9,Charlesland,0
3369.35,1ec92546-5107-442d-8ae4-5f87b777a1a8,New Kennethfurt,0
4722.42,33b54a41-1021-4416-a641-4a72956d80ce,West Edgar,0
549.88,68426d69-2862-4ab6-a7d3-8e63c52de468,Port Jimmyview,0
2779.59,cd558aab-e71d-48d9-a036-3f142cac82e8,Cainland,0
4949.64,a3d743d0-d98b-4887-96e1-87d24768a099,South Amandaview,0
3813.15,2edd19aa-bdeb-4cd6-a53a-3f0366f34006,Michaelfurt,0
4353.28,12a7f388-651a-4221-83bc-42d25ecc272d,New Andrew,0
2289.3,cd85f233-15f2-43a9-b750-2f4f56a896ad,East Jeffreyside,0
3592.08,eb420213-e47c-4c94-9040-85a5e5166f21,Port William,0
3596.16,ebbd6a9f-dc33-46c0-844f-ef75f0d78bcf,Melissamouth,0
1074.53,fb718a16-80c3-49d6-899d-b8bdcaee0445,North Sarahport,0
2044.67,39783f74-b709-4006-b524-f317888eb99f,East Wendy,0
2565.28,c135f7ba-dbc4-4e0e-88d3-73797d68a64c,Port Susan,0
3337.71,d1ee3ae3-2ecd-47c3-a816-23f7a2d8b4fb,Sandovaltown,0
1645.88,3e1278e1-5103-4d41-9ded-ddb06994b28f,Bennettburgh,0
1456.3,232477f6-bdef-4815-9948-8d2ce142fffd,East Samantha,0
3662.89,1e5624ea-551a-4677-8770-a02a2a764020,Port Maureen,0
3395.84,be829856-b0e1-4d2a-bf74-73bcc4dc2dbd,New Danielland,0
3534.21,62322494-2857-41b8-b8da-3ec7f1996362,South Codyfurt,0
3875.68,f8831cb9-46af-40b1-ba68-c00a0cfe21e4,Davidburgh,0
3417.65,7c1fbeac-5896-48fe-af72-8e64110dbd7f,Thompsonmouth,0
3399.41,193fad72-bea4-4c35-bcc0-3063947d4140,Jennifertown,0
4273.57,71c4b9d2-109a-4639-8fe9-d30152e1774b,East Pamelatown,0
3062.51,31f07834-ae99-41d7-aa64-461458dd83ff,Conniefort,0
3684.18,93a1a08b-5798-4213-a336-056e2ac9ac49,Davidberg,0
4603.3,22d53d95-87a5-4dc1-9c42-6155e71f4301,Emmabury,0
1966.25,8b588e04-6c3c-4fab-a56f-987dda00685f,North Angela,0
3519.13,c6f8bcee-d789-46ba-9d34-c217dd3ceb3a,Lake Richard,0
1558.89,9a8c3dc1-0b07-441a-962c-034f9dfcee8b,Port Josephfurt,0
4851.17,d901acad-fa28-4e9a-8de0-1e0c2a93fcce,Samuelchester,0
4223.0,5ad74fbd-dbbe-46fe-8994-fef26cfd8b7c,New Loganshire,0
4242.96,33de3804-e03e-4727-8b22-7ecc7a40f9c4,North Michael,0
165.04,c1aa727c-062c-4749-93b6-6944f3fa990f,Nelsonmouth,0
588.72,e0195502-4618-421b-8955-102d2e284a3e,New Willie,0
4066.81,daaaaaa8-c55d-493d-b81f-1e8e3792dbf6,Ramosshire,0
2935.34,ea2c43d0-55e1-4575-b6f0-63de7d77c61d,Johnsonmouth,0
2141.07,d3b1e916-c80e-485c-8179-899733372954,New Maxwellmouth,0
2359.9,1f52cc50-991b-4d95-a325-383477646dbe,Rodriguezmouth,0
2485.17,82ad8721-424d-4962-a500-ab374ee1e497,Sabrinashire,0
4236.22,29f8e4ff-7850-491e-83c9-9c90fd7e0a80,Morristown,0
3425.34,e04986ca-9139-4bc1-9979-8806367a9e8c,New Amanda,0
1587.26,183df33c-0ae3-4abc-b32c-626b38a2b3c0,Fritzland,0
1111.77,ea5c70a1-fb1a-421b-aa35-c589b45f41a8,Johnmouth,0
27.46,c9d5d72f-82f8-432f-b4c9-11fce05a1672,Benjaminbury,0
471.21,039ecd29-7337-41c3-86d9-463dbe595e58,Davisbury,0
1115.79,ff42a9bd-9b60-4b6d-940c-21578cdc238e,Port Barbara,1
1159.28,e53f46d9-6e5d-4d7d-aa4b-6ecc271876fc,Williamstad,0
2080.76,15095575-452b-44a6-812d-5b971d8f7a24,Wilkinsfurt,0
3829.21,63435ae8-95bc-409e-b975-bf7779490289,Darlenemouth,0
3819.15,514ee2f2-a579-48c8-986b-9ca8aa497c75,Perryport,0
3040.58,cde4d7e7-492a-4e88-bf86-c17169ba2be8,Port Jacquelinemouth,0
647.27,529df760-d612-4833-8648-aa35f84887a7,Rebeccafurt,0
424.38,58298d06-de9b-4726-bf83-76d4da60ddf6,Cherrychester,0
2937.71,932832ca-b3b9-42ff-a9c5-0e3f8043c9d2,North Bridget,0
1229.5,f9868bc1-098a-4279-89fd-6c560dee1faf,Lake Derektown,0
3545.01,310f8245-ed48-4283-b8a5-0cc0bb14af06,Port Christopher,0
1431.11,8474ac4a-a200-41c6-9b7b-77992e6f8440,West Kara,0
3835.52,bd6ba218-d839-4647-8875-440ec2940bc3,Albertmouth,0
2034.53,aee6a2b5-c709-4595-bc7f-418643e85ca8,Jamesburgh,0
785.66,ff674d67-c928-41ba-bff1-88c888787d86,Frankhaven,0
2387.94,035165a8-fbf8-406c-a858-689e31fd76ac,Richardtown,0
2316.7,d32a4850-e9f4-44e5-a305-c9e20d46dbcf,Jennytown,0
4683.29,6a8a4365-b095-4f4a-ae72-94d59b9a0bb4,South Alexanderport,0
2375.13,be062c35-f6f8-4704-ba83-8c06ab7c96d1,New Hannahport,0
4222.42,f106212c-b620-4001-b332-f348112b03a2,Hursttown,0
1801.02,026485e5-97ac-4ece-b3bc-929fa8e48bd9,Wardmouth,0
766.56,7f90d93d-4cc7-4080-9f4c-ea9cb1a3acc5,Jasmineside,0
1632.6,76122ac4-4e10-47b5-a8ed-92904776ffbd,Briannaland,0
300.08,e6fa1a3a-6a51-4d99-905f-e2a233b8451c,East Jacqueline,0
1010.51,1694f781-0691-4f59-8c34-2e2de8f95759,South Ana,0
301.2,7b00cc5f-f3d6-4bc0-8443-ce5003cea936,Alexanderbury,0
480.05,420f2a71-341a-40fe-b329-6b58fd9d316c,Port Rebecca,0
3380.53,5c0cd02e-a4c1-4e09-a60f-a3c9b7d2663d,Ortizburgh,0
75.54,6275ed7b-de00-442e-8405-218c63cd2463,Lake Timothybury,0
4603.12,8963fe8c-b4fd-4e17-9ed1-5a7866e95238,New Jessicabury,0
4793.43,c37b8cf1-8bae-4c5d-bad0-573bbd678851,East Alfred,0
1841.27,50ef52cc-a10e-41cb-a473-9379a086712f,New Collin,0
2853.38,b22a72b5-88ad-4220-aad2-e1f94d7ad0f2,South Jamesville,0
1823.2,8a770089-0fd7-4f39-992b-d617e66bbb97,Doylemouth,0
3663.65,225764ab-6bb5-4345-8f6d-bb1dfa631841,Taraton,0
4981.17,29131fc2-0cdf-4fd5-8dff-f0518e81b939,Lake Robertfort,0
1431.83,0ae423d4-3057-4f4c-b908-ab5ca9a7df36,Underwoodfurt,0
3696.28,6b5e9614-18e1-46a5-bbdd-a6b113c4849e,New Justin,0
2497.12,c9e7f175-fcba-4d22-b4b5-f19e9a21b7fa,Reedfort,0
623.39,72f5a92b-a139-4df7-97ad-89d749613efb,Lake Stevenbury,0
3054.5,31d6b751-0e19-4812-bca6-7a07d9eb70e5,Judyview,0
3808.08,b3a8083a-fe70-42a9-84b2-422168c8d07e,South Lori,0
1797.47,dda056fa-a085-4925-aead-67688318bf03,Port Melinda,0
2702.22,1244d82d-cc96-41a6-ae94-5d35ccea29e6,New Jason,0
268.47,78d85b57-91a1-4ea1-bbd0-5ee9793457f1,Randyborough,0
4872.09,3c494e36-cdad-4772-a1e5-6fa6ee51e3f7,Johnburgh,0
2512.37,f3be5dca-1045-4479-8576-9afe34032695,Louistown,0
316.72,ed2ae9f3-1b33-4912-b5b9-b58521dee23c,New Shawnmouth,0
2545.13,22d78b95-ce62-431b-b483-bfae1aa878d8,Crawfordhaven,0
2164.93,7df85038-921c-44de-83b4-ec0d9fbf2134,Gloriastad,0
299.15,1a78492e-f32e-47da-84fd-4d1bffc0bc89,Lynchmouth,0
1941.94,e208c467-742c-4787-80f2-8e2afa806ad1,Hesshaven,0
2535.26,0af0fd39-6b08-4e70-81d6-e6cd4f8a8488,West Dominique,0
1838.39,40c5fced-a411-4c4a-aa94-5c45aea0895d,East Sherryhaven,0
1825.83,814efa00-a464-4619-9d9e-7247745cc043,Henryberg,0
4359.12,edcac922-d78d-4309-b8a2-14f6f8b1ca65,South Patrickbury,0
3330.32,392d652c-39b8-4ac6-a38f-6a180f61d3b0,West Stephanie,0
2120.85,3e69384f-1cac-4ae6-8abc-ea7300472637,South Alisha,0
2295.71,0057aa29-e157-4dd9-8868-b27a250fc647,Kaiserside,1
3833.46,1e112227-8c8a-41e2-b480-2f5594c7d552,West David,0
633.86,05804daa-18f9-4afc-9356-08f05c6215a2,Elliottmouth,0
4470.75,d537fa8b-095c-4d23-8359-17fd87dda677,North Steve,0
1534.31,bbdde1aa-4927-4dc3-b9cf-45bc413d84c7,Emilyborough,0
2636.01,331070e4-ae6b-4045-8cd2-74107dc1622b,Williamsborough,0
2818.04,0d75fed8-e054-48dd-9d88-aaf52c891830,Lake Brandonberg,0
1752.61,78f55572-87e3-4ece-837f-f5fc2a72752c,South Sarah,0
3863.91,d1375462-2b5b-48e4-a42d-1063ca1a6fd3,New Veronicaland,0
3789.4,a3a0e850-65fa-44f3-b391-93f41b03645c,New Joshua,0
3925.35,f82bfc50-92b1-4e9e-800d-b2434b14c051,Port Laurieburgh,0
1832.13,c37d0a07-abc5-422b-8979-7c06f3358695,East Alexbury,0
4228.54,cb3807f9-d0be-441d-b8c0-267ba682599c,Fullerside,0
1078.35,a0f9ccd7-ab71-4678-b0f0-2e1ac623fac9,Kingstad,0
4160.54,4a2a655a-ed37-40f7-8e28-e46add6daac8,Colemanton,0
1690.63,5cca97ac-a262-4ba4-906e-8689f0070092,North Melody,0
4429.98,66f8141d-f0fd-4a04-b44d-125ca07a4dcf,New Sherry,0
4976.81,4d693743-b352-4db5-8c2a-2aadb7e47121,Nicolestad,0
949.11,b98c5682-e962-413e-ac21-8020839e0244,Ryanberg,0
509.71,a338d33b-c0ec-4595-816d-38be318a9b73,Dawnton,0
4575.12,fefc3132-9604-423a-a3dd-f3182f18a18a,Melindaborough,0
1784.55,1e65b549-cfc3-4d20-b481-8eb2d07eeac3,Coxstad,1
4973.36,86889f1f-a78d-42f3-a08c-bfd94b1dce33,East Bethany,0
3686.42,9ab429ca-68ab-4737-aa49-02982fa3a1d2,Kellyland,0
4160.13,d50f2317-858f-4e8c-9812-b9e0bd4d91ed,Andrewchester,0
3972.67,d7d019f3-706f-4073-89f8-ccca9a9eab62,Grosstown,0
640.39,bd13ec01-4ed4-4636-aebc-385628ba0bdf,Bradleyside,0
4942.58,01710209-5f14-4b47-9055-ce25d44aa340,Kleinchester,0
3966.27,301174d7-d2a7-4985-af1e-c5ecb67169be,North Emilyberg,0
1528.56,e42880b3-cc63-4010-bdb0-8f84de878e26,Priceland,0
2782.07,81286490-6854-4fdd-a482-cdc7a0261d34,Longburgh,0
918.34,4b145ee3-9738-410a-b553-43360f2cf5eb,Cervantesside,0
3051.33,2487c57b-ce7a-4c2b-af6d-a6b1dcf3905f,Jeanetteburgh,0
3967.95,1c66e154-f1ac-4aef-9eb7-5cd08817d9a9,Karitown,0
4974.12,d78df7d0-b978-4752-9484-9a3787879188,East Christophertown,0
2992.15,5453dc53-3f2c-404a-a0ed-57f9c86404e0,West Xavier,0
1390.28,339209e9-4556-4be3-aaf1-4f07eedd3627,Thompsonland,0
463.91,ed9cc651-c4ba-47df-bff6-b4629beacfef,Haleyport,0
1167.05,0f5e8499-fb6b-4484-974b-dadfc7d00a3f,Lauratown,0
4124.26,3f085ab9-d0ec-4cf3-bf13-6623913031ee,Lake Mariatown,0
1885.9,937ce09b-72b7-4435-af0b-491018881241,Hesterside,0
4963.25,1e442639-92d8-4e55-b138-cd96ed0722c7,Jamesberg,0
1769.82,e5198295-61af-4006-a628-b6825f691101,Lake Lauren,0
210.33,aa5fdd6a-9cb0-4d08-940c-61a25b9a0ffc,Lake Brianbury,0
2956.63,4d05054d-0f8c-4a7b-b247-8a270e3df923,West Karen,0
878.53,91a16fa1-61ac-48cb-825e-2293498fc4e0,Aliciaberg,0
268.84,3ff68420-f68f-4e7f-8625-2a3fcd804a84,Grayfurt,0
2367.29,6189b46b-25f4-48cd-bb51-4f49c8576ff8,Lake Linda,0
1767.81,3e937892-1b2d-40e6-adea-ebd55828f177,Quinnburgh,0
3767.16,d734531d-203b-4213-886d-0fd85dc82d38,Berryfurt,0
1376.53,5db0b721-08b2-463a-ba62-c8b84426ddab,Youngfurt,0
3432.14,b13cf576-643e-48d0-ae06-9c72d68d26cd,New Audreyport,0
803.0,1221accd-a5f9-4ada-ad41-8217587c9d9c,Dylanside,0
682.68,7bceb71d-2cd6-44b6-b316-3df277bd1b71,Johnsontown,0
4363.86,b91d4d32-85cc-4fbd-85fd-c275fb1f1d40,Leslieton,0
4047.82,aa971f3e-75cb-429a-9e0a-624608e27970,Bartlettmouth,0
1498.1,1381dafc-54ee-410d-92a1-ce6aa329393c,Robertstad,0
2118.6,ec67dff7-ec18-422b-aab6-b48e7423df67,Lake Toddshire,0
4028.21,f54e88d8-8b55-4b43-9ec7-c4bb47b403a3,North Amy,0
3123.19,0480469e-2402-4a24-9614-fc0963bd0bd6,East Anthonyport,0
3377.78,55aedc8a-2414-46c0-9b92-990b7a3d995f,East Debrafurt,0
2899.26,ef20bcfa-7937-4dd0-b38b-2ee98d7c6533,Ruizville,0
4732.59,12942cbd-4953-49a1-bff3-30b7d4fc9fca,North Jennifer,0
3482.02,0e7df93f-7c97-4eb4-ad60-9323655c7a90,New Matthew,0
2110.39,6872455d-0da9-48f5-9f92-d24b4d756e53,Dominicton,0
4236.19,6bc905b2-1772-4abc-b05b-410247c7a587,East Ian,0
1018.58,b1bb0bf4-8dee-48fb-94a7-f05852350b7b,New Scottbury,0
3205.01,e3000486-df3c-409d-b1e4-fabff18e1290,North Debramouth,0
2864.2,b5c05081-2a85-4591-8403-279d69748e12,Stephenport,0
1333.57,6fdd1a83-1bf2-4401-b964-07cd7f47948e,New Jeffreyhaven,0
578.19,863b061d-031b-4e5f-9277-c87e11b9e147,Kimborough,0
4876.44,50ce340b-db9c-4d91-bc48-b0f4d2c61262,North Theresaside,0
1721.34,52b2aee9-5b57-4e53-a6f9-34bdf40cd4a5,South Reneeshire,0
281.83,83bd1c7b-d237-4818-8953-177efdc7869f,Smithburgh,0
1774.02,58aef02d-5154-475e-8fc3-f9373975b165,Rachelton,0
1766.77,0ff7c76e-7eda-4abe-893a-d776e779bc96,Wilsonburgh,0
240.22,b8eafa55-d0a8-467d-8894-f71b8d75c4f0,Hillburgh,0
2595.44,681cd5b9-497c-4a0d-abb1-1ac4f86ad0d3,Dunnmouth,0
322.68,08d52273-3ccf-4b17-a86b-d7288af8c569,Lake Kevin,0
664.18,9146804f-0771-48ab-92fd-55b9cc0f6f08,West Erika,0
4455.42,a15046a2-f377-4f10-ba8e-4264d3772ca7,Lake Andrewville,0
